2019-11-04 16:01:52.635 fty [main] INFO  net.hzsec.Application - Starting Application on DESKTOP-A180TDM with PID 12348 (C:\Users\think\IdeaProjects\fty_parent\fty_web\target\classes started by think in C:\Users\think\IdeaProjects\fty_parent)
2019-11-04 16:01:52.639 fty [main] INFO  net.hzsec.Application - The following profiles are active: dev
2019-11-04 16:01:52.688 fty [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a55af6b: startup date [Mon Nov 04 16:01:52 CST 2019]; root of context hierarchy
2019-11-04 16:01:54.305 fty [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-04 16:01:54.891 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$79fa716f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-04 16:01:54.986 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [net.hzsec.config.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$d1ba63de] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-04 16:01:55.211 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-04 16:01:55.238 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.spring.boot.starter.MybatisPlusProperties' of type [com.baomidou.mybatisplus.spring.boot.starter.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-04 16:01:55.248 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfig' of type [net.hzsec.config.mybaties.MybatisPlusConfig$$EnhancerBySpringCGLIB$$88b12ccf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-04 16:01:55.261 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-04 16:01:55.269 fty [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.mybatisplus.spring.boot.starter.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.spring.boot.starter.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$c79a0fcc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
